序号,题型,题目,答案,知识点,解析
84,判断题,火灾中如果通道已被封堵，应及时寻找替代逃生或避险方式。,对,逃生疏散,应根据现场情况采取合理自救措施。
85,判断题,用明火查找燃气泄漏点是可行的。,错,燃气安全,明火可能引燃泄漏燃气，十分危险。
86,判断题,居民住宅阳台堆满纸箱、泡沫箱等杂物会增加火灾荷载。,对,居家防火,可燃杂物越多，燃烧越猛烈。
87,判断题,电气设备冒烟、有焦味时，应继续观察，不必处理。,错,用电安全,应及时断电检查，防止故障扩大。
88,判断题,火灾中听到疏散广播时，应结合指引尽快撤离。,对,逃生疏散,疏散广播是重要的现场指挥信息。
89,判断题,消防知识考试和演练只在检查前临时做一下就够了。,错,消防宣传,消防安全应长期坚持，不是临时应付。
90,判断题,灭火器应放置在便于取用且明显的位置。,对,灭火器材,便于快速发现和使用。
91,判断题,火灾中如果门外已有浓烟，开门前应谨慎判断。,对,逃生疏散,贸然开门可能让更多烟火进入室内。
92,判断题,遇到火灾时，围观拍视频比撤离更重要。,错,消防宣传,应第一时间避险、报警，不应围观妨碍救援。
93,判断题,办公区域下班后关闭不必要的电源有助于防火。,对,办公防火,可减少设备长时间通电带来的风险。
94,判断题,灭火时人与火源之间的安全距离可以完全不考虑。,错,灭火常识,扑救时应保持适当安全距离，防止被火焰灼伤。
95,判断题,消防控制室值班人员应熟悉火灾报警和应急处置流程。,对,消防管理,熟悉流程是及时处置火情的重要前提。
96,判断题,占用、堵塞、封闭疏散通道和安全出口是被禁止的。,对,疏散通道,疏散设施必须保持畅通。
97,判断题,使用取暖器时，应与窗帘、被褥等可燃物保持距离。,对,冬季防火,取暖设备周边过近易引燃可燃物。
98,判断题,消防宣传的目的之一是提升公众预防火灾和自救互救能力。,对,消防宣传,消防宣传教育具有明显的预防和减灾作用。
99,判断题,火灾初起阶段往往是扑救和控制的较好时机。,对,灭火常识,初起火灾规模较小，处置成功率相对更高。
100,判断题,发现他人有堵塞消防通道等行为时，可以提醒或向相关人员反映。,对,消防宣传,发现隐患及时提醒和报告，有助于预防事故。
